nct_id,brief_title,sponsor_name,phase,overall_status,start_date,completion_date,enrollment_count,interventions
NCT03816774,Effect of Adding Simethicone to Split-dose Polyethylene Glycol for Bowel Preparation in a Screening Colonoscopy Setting,"Portuguese Oncology Institute, Coimbra",NA,COMPLETED,2019-06-15,2022-09-17,412.0,PEG split-dose and simethicone
NCT04169074,Immune Modulation by Abemaciclib in Head and Neck Squamous Cell Carcinoma (HNSCC). (AIM Trial),University of Arizona,PHASE2,TERMINATED,2021-07-07,2025-01-13,7.0,Abemaciclib
NCT03983174,Drainage Seton With Flap Versus EAS Preserving Seton in Treatment of Transsphincteric Anal Fistula,Mansoura University,NA,COMPLETED,2017-01-01,2019-04-30,100.0,Drainage seton with flap; EAS sparing seton
NCT00898118,Studying Blood Samples in Young Patients With Cytopenia After a Donor Stem Cell Transplant,European Working Group of MDS in Childhood,N/A,UNKNOWN,2007-04,,125.0,polymerase chain reaction; flow cytometry; laboratory biomarker analysis; allogeneic hematopoietic stem cell transplantation
NCT01414790,The Use of Human Acellular Dermal Matrix to Improve Infraauricular Depressed Deformities and Frey's Syndrome,West China Hospital,PHASE3,COMPLETED,2004-01,2011-01,70.0,ADM
NCT07133997,Recombinant Erwinia Asparaginase and Venetoclax in Combination With Blinatumomab for the Treatment of Relapsed or Refractory CD19 Positive B-cell Acute Lymphoblastic Leukemia,City of Hope Medical Center,PHASE1,RECRUITING,2026-05-20,2028-06-01,26.0,Asparaginase Erwinia chrysanthemi; Biospecimen Collection; Blinatumomab; Bone Marrow Aspiration; Bone Marrow Biopsy; Cyclophosphamide; Echocardiography Test; Lumbar Puncture; Multigated Acquisition Scan; Venetoclax; Vincristine
NCT05038397,"A Study to Evaluate Efficacy and Safety of TheraSphere and Resection Combination Therapy in Patients With Single Large ((> 5cm, Long Diameter ) Hepatocellular Carcinoma : Exploratory Trial",MedicalExcellence,NA,COMPLETED,2018-01-30,2021-06-02,30.0,Theraspere
NCT02197897,Evaluation the Treatment of Tamoxifen of Low/Intermediate Risk Bladder Tumors,Baylor College of Medicine,PHASE2,COMPLETED,2015-04-01,2019-06-28,15.0,Tamoxifen Citrate
NCT04624113,"Tazemetostat and Pembrolizumab in Patients With Pembrolizumab- or Nivolumab-Resistant, Recurrent or Metastatic Head and Neck Squamous-Cell Carcinoma",Washington University School of Medicine,PHASE1,TERMINATED,2021-04-14,2024-02-17,13.0,Tazemetostat; Pembrolizumab
NCT02424513,A Study of Positron Emission Tomography (PET) With [89]Zr-Df-IAb2M in Patients With High-risk Prostate Cancer,"ImaginAb, Inc.",PHASE2,WITHDRAWN,2015-03,2016-03,0.0,[89Zr]Df-IAB2M
NCT04817813,"Long-term Outcomes After Breast Cancer Liver Metastasis Surgery: an European, Retrospective, Snapshot Study",Hospital Miguel Servet,N/A,UNKNOWN,2021-03-15,2021-07-31,300.0,
